FAMSIZE,ELDCH,SEX,AGE,MARST,BIRTHYR,MARRNO,MARRINYR,YRMARR,DIVINYR,WIDINYR,RACE,HISPAN,SPEAKENG,RACNUM,HCOVANY,HCOVPRIV,HINSEMP,HINSPUR,HCOVPUB,HINSCAID,HINSCARE,HINSVA,HINSIHS,EDUC,EMPSTAT,LABFORCE,CLASSWKR,WKSWORK2,UHRSWORK,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,VETDISAB,DIFFHEAR,VETSTAT,VETSTATD,VET01LTR,VET90X01,VET75X90,VETVIETN,VET55X64,VETKOREA,VET47X50,VETWWII,VETOTHER,TRANWORK,CARPOOL,RIDERS,TRANTIME,DEPARTS,ARRIVES,GCHOUSE,GCMONTHS,GCRESPON
1,99,2,80,5,1934,1,1,1959,1,2,1,0,3,1,2,2,1,1,2,1,2,1,1,10,3,1,0,0,0,1,1,1,5,1,73000,73000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,1,81,4,1933,3,1,1978,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,12700,12700,0,0,0,1,1,2,20,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0
3,68,2,93,5,1921,2,1,1947,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,2,3,1,0,0,0,1,1,1,5,1,21600,65700,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,99,2,83,1,1931,1,1,1967,1,1,1,0,3,1,2,1,1,1,2,2,2,1,1,6,3,1,0,0,0,1,1,1,5,1,8500,89800,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2
2,99,1,67,1,1947,1,1,1967,1,1,2,0,3,1,2,2,1,2,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,16800,46100,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,45,1,70,1,1944,1,1,1966,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,49000,58890,0,0,0,1,2,2,20,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0
2,99,1,74,1,1940,1,1,1960,1,1,1,0,3,1,2,2,1,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,13200,18000,0,0,0,1,1,2,20,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0
1,99,2,93,5,1921,1,1,1987,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,3,3,1,0,0,0,1,1,1,5,1,8800,9999999,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,71,1,1943,1,1,1964,1,1,2,0,3,1,2,2,2,1,2,1,2,1,1,7,3,1,0,0,0,1,1,1,5,1,16800,65300,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,47,2,67,1,1947,1,1,1965,1,1,1,0,3,1,2,2,2,2,2,1,2,1,1,6,3,1,0,0,0,1,1,1,3,1,8700,40410,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,46,2,65,4,1949,1,1,1965,1,1,2,0,3,1,2,1,1,1,2,2,2,1,1,6,3,1,0,0,0,3,1,1,3,1,8700,30100,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,87,5,1927,2,1,1953,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,4,3,1,0,0,0,1,1,1,5,1,26000,26000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,1,80,4,1934,1,1,1986,1,1,1,0,3,1,2,2,1,1,2,2,2,1,1,2,3,1,0,0,0,3,4,3,5,1,0,9999999,0,0,0,1,2,2,20,1,1,2,1,2,2,1,1,1,0,0,0,0,0,0,1,0,0
2,99,1,77,1,1937,2,1,1964,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,1,2,2,3,35,2,4,3,5,3,36470,66470,19300,0,0,1,2,2,20,1,1,1,1,2,1,1,1,1,10,1,1,25,602,629,1,0,0
2,99,2,76,1,1938,1,1,1957,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,24700,33600,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,70,1,1944,2,1,1972,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,6,1,2,2,6,25,2,1,1,5,3,20000,68400,12000,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,10,1,1,10,752,804,1,0,0
